EMP_ID,Team,Profile_Type,Out_Degree,In_Degree,Out_Strength,In_Strength,Isolation_Risk_Flag
EMP_001,Solution Architecture,balanced,4,0,12,0,0
EMP_002,Data Engineering,balanced,4,0,15,0,0
EMP_003,Platform Engineering,balanced,3,3,10,10,0
EMP_004,Information Management,balanced,2,1,3,4,0
EMP_005,Information Management,balanced,2,0,5,0,0
EMP_006,Solution Architecture,island,0,4,0,12,1
EMP_007,Client Services,balanced,5,7,18,19,0
EMP_008,Data Engineering,balanced,2,2,5,3,0
EMP_009,Information Management,balanced,4,1,11,1,0
EMP_010,Platform Engineering,balanced,4,2,11,5,0
EMP_011,Solution Architecture,balanced,3,2,5,5,0
EMP_012,Analytics & BI,balanced,3,3,9,8,0
EMP_013,Information Management,balanced,2,2,5,5,0
EMP_014,Platform Engineering,balanced,6,1,11,3,0
EMP_015,Data Engineering,balanced,4,3,10,8,0
EMP_016,Client Services,balanced,5,2,12,7,0
EMP_017,Analytics & BI,balanced,3,5,10,16,0
EMP_018,Solution Architecture,balanced,3,4,10,13,0
EMP_019,Platform Engineering,balanced,5,3,17,9,0
EMP_020,Platform Engineering,balanced,4,3,9,7,0
EMP_021,Information Management,balanced,5,6,13,15,0
EMP_022,Client Services,island,0,2,0,6,1
EMP_023,Solution Architecture,balanced,5,1,15,3,0
EMP_024,Client Services,balanced,4,9,12,25,0
EMP_025,Data Engineering,balanced,5,3,16,6,0
EMP_026,Analytics & BI,balanced,3,0,10,0,0
EMP_027,Client Services,balanced,6,1,14,3,0
EMP_028,Client Services,broker,3,6,9,19,0
EMP_029,Solution Architecture,balanced,3,2,7,5,0
EMP_030,Client Services,island,0,1,0,4,1
EMP_031,Client Services,balanced,3,2,7,5,0
EMP_032,Analytics & BI,balanced,2,1,5,3,0
EMP_033,Platform Engineering,balanced,5,4,14,11,0
EMP_034,Platform Engineering,balanced,2,1,7,3,0
EMP_035,Client Services,balanced,3,2,9,6,0
EMP_036,Information Management,island,0,0,0,0,1
EMP_037,Platform Engineering,island,0,3,0,10,1
EMP_038,Information Management,balanced,4,5,12,17,0
EMP_039,Client Services,balanced,5,1,17,2,0
EMP_040,Client Services,balanced,2,3,8,11,0
EMP_041,Data Engineering,balanced,5,1,14,2,0
EMP_042,Platform Engineering,balanced,5,3,12,9,0
EMP_043,Data Engineering,balanced,4,2,14,6,0
EMP_044,Analytics & BI,balanced,2,0,4,0,0
EMP_045,Information Management,balanced,4,1,10,2,0
EMP_046,Client Services,balanced,2,2,5,2,0
EMP_047,Data Engineering,balanced,6,2,16,5,0
EMP_048,Platform Engineering,balanced,4,1,11,2,0
EMP_049,Analytics & BI,island,1,2,3,5,1
EMP_050,Analytics & BI,balanced,4,2,10,7,0
EMP_051,Data Engineering,island,0,2,0,4,1
EMP_052,Information Management,island,1,2,2,4,1
EMP_053,Analytics & BI,broker,4,8,10,22,0
EMP_054,Data Engineering,balanced,5,0,12,0,0
EMP_055,Solution Architecture,balanced,5,3,14,7,0
EMP_056,Platform Engineering,balanced,4,6,7,15,0
EMP_057,Data Engineering,balanced,4,2,5,6,0
EMP_058,Data Engineering,balanced,3,2,10,5,0
EMP_059,Platform Engineering,island,0,0,0,0,1
EMP_060,Solution Architecture,balanced,4,2,9,7,0
EMP_061,Platform Engineering,balanced,5,0,15,0,0
EMP_062,Solution Architecture,broker,3,10,11,27,0
EMP_063,Analytics & BI,balanced,5,0,12,0,0
EMP_064,Platform Engineering,balanced,4,2,13,5,0
EMP_065,Solution Architecture,broker,2,9,7,25,0
EMP_066,Analytics & BI,balanced,5,2,15,8,0
EMP_067,Information Management,island,0,1,0,4,1
EMP_068,Platform Engineering,hub,4,21,13,54,0
EMP_069,Data Engineering,balanced,5,2,12,6,0
EMP_070,Solution Architecture,balanced,4,1,9,4,0
EMP_071,Solution Architecture,island,1,3,2,6,1
EMP_072,Analytics & BI,balanced,5,4,12,10,0
EMP_073,Platform Engineering,balanced,4,2,7,5,0
EMP_074,Analytics & BI,balanced,4,4,13,9,0
