EMP_ID,Team,Seniority,Profile_Type,Isolation_Risk_Flag,out_degree,in_degree
EMP_001,Solution Architecture,Mid-level,balanced,0,4,0
EMP_002,Data Engineering,Mid-level,balanced,0,4,0
EMP_003,Platform Engineering,Mid-level,balanced,0,3,3
EMP_004,Information Management,Mid-level,balanced,0,2,1
EMP_005,Information Management,Junior,balanced,0,2,0
EMP_006,Solution Architecture,Junior,island,1,0,4
EMP_007,Client Services,Junior,balanced,0,5,7
EMP_008,Data Engineering,Junior,balanced,0,2,2
EMP_009,Information Management,Senior,balanced,0,4,1
EMP_010,Platform Engineering,Mid-level,balanced,0,4,2
EMP_011,Solution Architecture,Junior,balanced,0,3,2
EMP_012,Analytics & BI,Mid-level,balanced,0,3,3
EMP_013,Information Management,Junior,balanced,0,2,2
EMP_014,Platform Engineering,Junior,balanced,0,6,1
EMP_015,Data Engineering,Mid-level,balanced,0,4,3
EMP_016,Client Services,Junior,balanced,0,5,2
EMP_017,Analytics & BI,Mid-level,balanced,0,3,5
EMP_018,Solution Architecture,Junior,balanced,0,3,4
EMP_019,Platform Engineering,Mid-level,balanced,0,5,3
EMP_020,Platform Engineering,Mid-level,balanced,0,4,3
EMP_021,Information Management,Senior,balanced,0,5,6
EMP_022,Client Services,Mid-level,island,1,0,2
EMP_023,Solution Architecture,Junior,balanced,0,5,1
EMP_024,Client Services,Junior,balanced,0,4,9
EMP_025,Data Engineering,Mid-level,balanced,0,5,3
EMP_026,Analytics & BI,Mid-level,balanced,0,3,0
EMP_027,Client Services,Senior,balanced,0,6,1
EMP_028,Client Services,Senior,broker,0,3,6
EMP_029,Solution Architecture,Senior,balanced,0,3,2
EMP_030,Client Services,Junior,island,1,0,1
EMP_031,Client Services,Junior,balanced,0,3,2
EMP_032,Analytics & BI,Senior,balanced,0,2,1
EMP_033,Platform Engineering,Mid-level,balanced,0,5,4
EMP_034,Platform Engineering,Junior,balanced,0,2,1
EMP_035,Client Services,Senior,balanced,0,3,2
EMP_036,Information Management,Junior,island,1,0,0
EMP_037,Platform Engineering,Junior,island,1,0,3
EMP_038,Information Management,Mid-level,balanced,0,4,5
EMP_039,Client Services,Mid-level,balanced,0,5,1
EMP_040,Client Services,Mid-level,balanced,0,2,3
EMP_041,Data Engineering,Senior,balanced,0,5,1
EMP_042,Platform Engineering,Junior,balanced,0,5,3
EMP_043,Data Engineering,Mid-level,balanced,0,4,2
EMP_044,Analytics & BI,Junior,balanced,0,2,0
EMP_045,Information Management,Junior,balanced,0,4,1
EMP_046,Client Services,Junior,balanced,0,2,2
EMP_047,Data Engineering,Senior,balanced,0,6,2
EMP_048,Platform Engineering,Junior,balanced,0,4,1
EMP_049,Analytics & BI,Junior,island,1,1,2
EMP_050,Analytics & BI,Junior,balanced,0,4,2
EMP_051,Data Engineering,Junior,island,1,0,2
EMP_052,Information Management,Mid-level,island,1,1,2
EMP_053,Analytics & BI,Mid-level,broker,0,4,8
EMP_054,Data Engineering,Junior,balanced,0,5,0
EMP_055,Solution Architecture,Senior,balanced,0,5,3
EMP_056,Platform Engineering,Mid-level,balanced,0,4,6
EMP_057,Data Engineering,Mid-level,balanced,0,4,2
EMP_058,Data Engineering,Senior,balanced,0,3,2
EMP_059,Platform Engineering,Junior,island,1,0,0
EMP_060,Solution Architecture,Senior,balanced,0,4,2
EMP_061,Platform Engineering,Mid-level,balanced,0,5,0
EMP_062,Solution Architecture,Mid-level,broker,0,3,10
EMP_063,Analytics & BI,Senior,balanced,0,5,0
EMP_064,Platform Engineering,Junior,balanced,0,4,2
EMP_065,Solution Architecture,Mid-level,broker,0,2,9
EMP_066,Analytics & BI,Junior,balanced,0,5,2
EMP_067,Information Management,Mid-level,island,1,0,1
EMP_068,Platform Engineering,Senior,hub,0,4,21
EMP_069,Data Engineering,Junior,balanced,0,5,2
EMP_070,Solution Architecture,Senior,balanced,0,4,1
EMP_071,Solution Architecture,Mid-level,island,1,1,3
EMP_072,Analytics & BI,Mid-level,balanced,0,5,4
EMP_073,Platform Engineering,Mid-level,balanced,0,4,2
EMP_074,Analytics & BI,Mid-level,balanced,0,4,4
EMP_075,Platform Engineering,Senior,balanced,0,5,3
EMP_076,Information Management,Mid-level,balanced,0,6,1
EMP_077,Data Engineering,Mid-level,balanced,0,4,2
EMP_078,Solution Architecture,Senior,balanced,0,4,4
EMP_079,Platform Engineering,Senior,balanced,0,3,1
EMP_080,Analytics & BI,Senior,broker,0,4,8
EMP_081,Data Engineering,Mid-level,balanced,0,2,2
EMP_082,Platform Engineering,Mid-level,balanced,0,4,1
EMP_083,Platform Engineering,Mid-level,balanced,0,5,1
EMP_084,Information Management,Mid-level,balanced,0,4,3
EMP_085,Data Engineering,Junior,balanced,0,5,0
EMP_086,Solution Architecture,Senior,balanced,0,3,0
EMP_087,Platform Engineering,Junior,island,1,0,3
EMP_088,Client Services,Mid-level,balanced,0,3,4
EMP_089,Data Engineering,Junior,island,1,0,2
EMP_090,Analytics & BI,Mid-level,balanced,0,3,7
EMP_091,Client Services,Mid-level,balanced,0,5,1
EMP_092,Analytics & BI,Mid-level,balanced,0,6,6
EMP_093,Solution Architecture,Junior,balanced,0,6,2
EMP_094,Information Management,Senior,broker,0,3,5
EMP_095,Information Management,Junior,balanced,0,2,1
EMP_096,Analytics & BI,Mid-level,balanced,0,4,1
EMP_097,Data Engineering,Mid-level,balanced,0,6,6
EMP_098,Platform Engineering,Mid-level,balanced,0,5,1
EMP_099,Analytics & BI,Mid-level,balanced,0,2,2
EMP_100,Platform Engineering,Mid-level,island,1,0,1
EMP_101,Data Engineering,Mid-level,balanced,0,5,4
EMP_102,Platform Engineering,Mid-level,balanced,0,3,3
EMP_103,Analytics & BI,Junior,balanced,0,6,2
EMP_104,Information Management,Senior,balanced,0,5,1
EMP_105,Platform Engineering,Mid-level,broker,0,4,11
EMP_106,Platform Engineering,Junior,island,1,0,1
EMP_107,Information Management,Senior,balanced,0,6,3
EMP_108,Solution Architecture,Mid-level,broker,0,4,10
EMP_109,Data Engineering,Mid-level,balanced,0,3,2
EMP_110,Data Engineering,Mid-level,island,1,0,0
EMP_111,Client Services,Senior,balanced,0,6,2
EMP_112,Data Engineering,Mid-level,balanced,0,4,1
EMP_113,Client Services,Senior,balanced,0,5,1
EMP_114,Information Management,Mid-level,broker,0,4,11
EMP_115,Data Engineering,Mid-level,balanced,0,4,0
EMP_116,Data Engineering,Junior,balanced,0,5,1
EMP_117,Analytics & BI,Mid-level,balanced,0,3,3
EMP_118,Platform Engineering,Mid-level,balanced,0,5,2
EMP_119,Client Services,Junior,balanced,0,6,0
EMP_120,Information Management,Mid-level,balanced,0,4,1
