EMP_ID,Seniority,Team,Years_Exp,Region,Profile_Type,A1_PostgreSQL,A2_Linux,A3_Python,A4_Cloud,A5_InfoMgmt,A6_Networking,A7_DataAnalytics,A8_API,A9_TechConsult,B1_English,B2_German,B3_French,B4_OtherLang,C1_ClientMeetings,C2_ScopingSessions,C3_IndustryAdvice,D1_KnowledgeSessions,D2_MentoringCount,D3_CrossTeamContrib,E1_TeamLeadCount,E2_EscalationsToMe,E3_UnblockCount,F1_IncidentsCalled,F2_ProblemConsults,F3_InnovationsAdopted,G1_MultiCountryProj,G2_CulturalBridging,H1_StakeholderExplain,H2_DocsAuthored,H3_PresentationsGiven,Peer_Nom_Tech,Peer_Nom_Client,Peer_Nom_Leader,Peer_Nom_Total,Hard_Tech_Score,Tech_Consult_Score,Lang_Score,Hard_Score,Biz_Score,Collab_Score,Lead_Score,ProbSolve_Score,Cultural_Score,Comm_Score,Soft_Score,Competence_Score
EMP_001,Mid-level,Solution Architecture,7,Africa,balanced,2,3,1,2,2,1,2,1,2,4,1,1,2,2,3,2,3,2,4,2,2,3,1,4,2,2,3,3,2,1,2,1,0,3,1.75,2,2,1.85,2.33,3,2.33,2.33,2.5,2,2.41,2.13
EMP_002,Senior,Platform Engineering,19,Eastern Europe,balanced,5,4,2,2,4,2,2,4,3,5,3,3,3,4,3,3,2,4,4,3,5,3,4,4,2,4,4,4,5,4,3,1,4,8,3.12,3,3.5,3.23,3.33,3.33,3.67,3.33,4,4.33,3.65,3.44
EMP_003,Mid-level,Solution Architecture,6,Central Europe,balanced,2,1,2,3,2,4,3,2,2,4,2,1,2,2,0,3,2,2,3,2,3,1,2,4,2,1,2,2,2,2,1,0,2,3,2.38,2,2.25,2.31,1.67,2.33,2,2.67,1.5,2,2.06,2.18
EMP_004,Senior,Data Engineering,14,Africa,balanced,4,2,4,4,3,5,2,2,4,4,1,2,3,4,3,5,3,3,4,3,4,4,2,4,3,5,3,3,4,4,4,2,1,7,3.25,4,2.5,3.08,4,3.33,3.67,3,4,3.67,3.59,3.34
EMP_005,Mid-level,Data Engineering,5,Western Europe,balanced,3,3,2,3,1,1,2,3,3,4,1,3,0,2,3,2,3,2,5,2,1,2,2,3,2,2,2,3,2,3,3,4,2,9,2.25,3,2,2.23,2.33,3.33,1.67,2.33,2,2.67,2.41,2.32
EMP_006,Mid-level,Data Engineering,5,Western Europe,balanced,2,5,1,0,4,1,1,2,2,3,1,2,3,2,2,2,2,3,1,3,2,3,2,3,2,3,3,2,2,2,2,0,0,2,2,2,2.25,2.08,2,2,2.67,2.33,3,2,2.29,2.18
EMP_007,Junior,Solution Architecture,3,Eastern Europe,balanced,0,0,1,1,3,2,1,2,0,4,0,0,0,3,1,0,0,1,0,0,3,2,1,1,1,3,1,2,1,1,2,1,1,4,1.25,0,1,1.08,1.33,0.33,1.67,1,2,1.33,1.24,1.16
EMP_008,Junior,Solution Architecture,1,Africa,balanced,0,1,0,2,0,0,1,1,0,3,0,1,1,0,0,2,2,1,0,2,3,2,1,2,1,0,1,2,2,0,1,0,2,3,0.62,0,1.25,0.77,0.67,1,2.33,1.33,0.5,1.33,1.24,1
EMP_009,Mid-level,Platform Engineering,6,Middle East,balanced,1,3,3,3,0,1,3,1,3,4,1,1,1,4,2,3,3,3,2,3,3,3,3,2,1,4,1,4,2,2,1,0,0,1,1.88,3,1.75,1.92,3,2.67,3,2,2.5,2.67,2.65,2.28
EMP_010,Junior,Data Engineering,1,Middle East,balanced,0,1,1,2,1,1,2,0,1,3,1,1,3,1,2,1,3,0,1,1,0,0,1,2,1,3,2,1,0,1,5,2,0,7,1,1,2,1.31,1.33,1.33,0.33,1.33,2.5,0.67,1.18,1.25
EMP_011,Mid-level,Platform Engineering,4,Western Europe,balanced,4,1,2,2,2,2,0,1,2,4,1,3,2,3,2,1,1,2,3,4,2,2,3,4,2,4,2,4,3,2,1,0,3,4,1.75,2,2.5,2,2,2,2.67,3,3,3,2.59,2.3
EMP_012,Senior,Platform Engineering,9,Eastern Europe,balanced,2,4,4,5,3,1,3,4,4,5,2,3,2,2,4,4,4,2,4,4,3,4,4,4,5,3,3,3,3,3,1,1,3,5,3.25,4,3,3.23,3.33,3.33,3.67,4.33,3,3,3.47,3.35
EMP_013,Mid-level,Solution Architecture,4,Central Europe,alice,2,2,4,4,1,1,1,0,2,4,4,1,1,1,4,2,1,0,0,1,1,0,1,1,2,2,1,3,1,0,2,0,0,2,1.88,2,2.5,2.08,2.33,0.33,0.67,1.33,1.5,1.33,1.24,1.66
EMP_014,Mid-level,Solution Architecture,7,Eastern Europe,balanced,2,0,2,3,2,0,4,2,4,4,2,2,0,5,2,3,3,2,4,3,2,2,3,3,3,1,2,1,4,4,2,1,0,3,1.88,4,2,2.08,3.33,3,2.33,3,1.5,3,2.76,2.42
EMP_015,Senior,Data Engineering,21,Middle East,alice,5,3,3,3,3,3,3,3,5,5,2,3,4,1,2,3,4,3,4,2,3,3,1,5,1,4,3,0,0,3,5,3,2,10,3.25,5,3.5,3.46,2,3.67,2.67,2.33,3.5,1,2.47,2.96
EMP_016,Senior,Analytics & BI,17,Western Europe,balanced,3,3,1,5,5,2,5,3,2,5,3,5,3,5,3,3,2,3,4,4,4,3,3,4,3,5,3,3,4,3,2,3,2,7,3.38,2,4,3.46,3.67,3,3.67,3.33,4,3.33,3.47,3.46
EMP_017,Junior,Solution Architecture,1,Middle East,balanced,0,0,1,1,1,0,1,2,0,2,0,0,1,2,2,1,0,1,0,0,0,0,1,2,2,1,2,1,0,2,1,1,0,2,0.75,0,0.75,0.69,1.67,0.33,0,1.67,1.5,1,1,0.84
EMP_018,Mid-level,Platform Engineering,7,Western Europe,balanced,2,2,2,1,3,2,3,3,1,4,1,1,0,3,3,2,4,2,4,3,2,1,2,2,3,3,2,3,3,3,2,1,3,6,2.25,1,1.5,1.92,2.67,3.33,2,2.33,2.5,3,2.65,2.28
