Source_EMP_ID,Target_EMP_ID,Interaction_Type,Interaction_Type_Code,Interaction_Frequency,Interaction_Frequency_Weight,Awareness_Score,Energy_Score,Nomination_Rank
EMP_001,EMP_126,Hard,1,Daily,1.00,5,5,1
EMP_001,EMP_274,Hard,1,Monthly,0.33,2,3,2
EMP_001,EMP_176,Soft,0,Monthly,0.33,2,3,1
EMP_001,EMP_024,Soft,0,Daily,1.00,5,5,2
EMP_002,EMP_084,Hard,1,Weekly,0.67,4,4,1
EMP_002,EMP_050,Hard,1,Daily,1.00,5,5,2
EMP_002,EMP_028,Soft,0,Daily,1.00,5,4,1
EMP_002,EMP_072,Soft,0,Daily,1.00,5,5,2
EMP_003,EMP_159,Hard,1,Weekly,0.67,5,4,1
EMP_003,EMP_181,Hard,1,Weekly,0.67,3,3,2
EMP_003,EMP_196,Soft,0,Daily,1.00,4,5,1
EMP_004,EMP_194,Hard,1,Monthly,0.33,4,4,1
EMP_004,EMP_108,Soft,0,Rarely,0.10,1,3,1
EMP_005,EMP_159,Hard,1,Weekly,0.67,3,3,1
EMP_005,EMP_108,Soft,0,Monthly,0.33,3,3,1
EMP_007,EMP_149,Hard,1,Weekly,0.67,3,4,1
EMP_007,EMP_211,Hard,1,Daily,1.00,5,4,2
EMP_007,EMP_003,Soft,0,Daily,1.00,4,5,1
EMP_007,EMP_262,Soft,0,Weekly,0.67,4,5,2
EMP_007,EMP_186,Soft,0,Daily,1.00,5,5,3
EMP_008,EMP_247,Hard,1,Monthly,0.33,3,2,1
EMP_008,EMP_121,Soft,0,Weekly,0.67,4,5,1
EMP_009,EMP_219,Hard,1,Daily,1.00,4,5,1
EMP_009,EMP_161,Soft,0,Monthly,0.33,3,3,1
EMP_009,EMP_281,Soft,0,Monthly,0.33,3,4,2
EMP_009,EMP_192,Soft,0,Weekly,0.67,4,3,3
EMP_010,EMP_247,Hard,1,Monthly,0.33,2,4,1
EMP_010,EMP_062,Hard,1,Weekly,0.67,4,3,2
EMP_010,EMP_176,Soft,0,Monthly,0.33,4,2,1
EMP_010,EMP_221,Soft,0,Daily,1.00,4,5,2
EMP_011,EMP_056,Hard,1,Rarely,0.10,3,2,1
EMP_011,EMP_020,Hard,1,Rarely,0.10,2,3,2
EMP_011,EMP_298,Soft,0,Weekly,0.67,5,3,1
EMP_012,EMP_126,Hard,1,Daily,1.00,5,5,1
EMP_012,EMP_105,Soft,0,Monthly,0.33,2,3,1
EMP_012,EMP_122,Soft,0,Weekly,0.67,4,3,2
EMP_013,EMP_166,Hard,1,Daily,1.00,5,5,1
EMP_013,EMP_298,Soft,0,Rarely,0.10,2,3,1
EMP_014,EMP_247,Hard,1,Monthly,0.33,3,2,1
EMP_014,EMP_223,Hard,1,Rarely,0.10,2,1,2
EMP_014,EMP_149,Hard,1,Weekly,0.67,5,5,3
EMP_014,EMP_028,Soft,0,Monthly,0.33,3,2,1
EMP_014,EMP_094,Soft,0,Rarely,0.10,3,3,2
EMP_014,EMP_296,Soft,0,Monthly,0.33,3,3,3
EMP_015,EMP_159,Hard,1,Weekly,0.67,3,5,1
EMP_015,EMP_024,Hard,1,Monthly,0.33,4,2,2
EMP_015,EMP_039,Hard,1,Monthly,0.33,3,4,3
EMP_015,EMP_190,Soft,0,Weekly,0.67,5,3,1
EMP_016,EMP_166,Hard,1,Weekly,0.67,3,5,1
EMP_016,EMP_184,Hard,1,Monthly,0.33,3,3,2
EMP_016,EMP_131,Soft,0,Weekly,0.67,3,4,1
EMP_016,EMP_151,Soft,0,Rarely,0.10,2,3,2
EMP_016,EMP_139,Soft,0,Weekly,0.67,5,3,3
EMP_017,EMP_247,Hard,1,Weekly,0.67,4,3,1
EMP_017,EMP_092,Hard,1,Weekly,0.67,4,4,2
EMP_017,EMP_202,Soft,0,Daily,1.00,5,5,1
EMP_018,EMP_219,Hard,1,Weekly,0.67,5,5,1
EMP_018,EMP_230,Soft,0,Daily,1.00,5,5,1
EMP_018,EMP_107,Soft,0,Weekly,0.67,4,3,2
EMP_019,EMP_218,Hard,1,Daily,1.00,5,5,1
EMP_019,EMP_072,Hard,1,Weekly,0.67,5,3,2
EMP_019,EMP_277,Hard,1,Weekly,0.67,5,3,3
EMP_019,EMP_062,Soft,0,Daily,1.00,5,5,1
EMP_019,EMP_109,Soft,0,Weekly,0.67,4,3,2
EMP_020,EMP_090,Hard,1,Weekly,0.67,4,3,1
EMP_020,EMP_253,Hard,1,Rarely,0.10,1,3,2
EMP_020,EMP_283,Hard,1,Rarely,0.10,2,1,3
EMP_020,EMP_196,Soft,0,Daily,1.00,4,5,1
EMP_021,EMP_126,Hard,1,Weekly,0.67,5,5,1
EMP_021,EMP_108,Hard,1,Monthly,0.33,3,2,2
EMP_021,EMP_191,Hard,1,Daily,1.00,5,4,3
EMP_021,EMP_053,Soft,0,Monthly,0.33,2,2,1
EMP_021,EMP_049,Soft,0,Monthly,0.33,4,2,2
EMP_023,EMP_198,Hard,1,Monthly,0.33,3,4,1
EMP_023,EMP_070,Hard,1,Daily,1.00,5,5,2
EMP_023,EMP_042,Soft,0,Weekly,0.67,4,5,1
EMP_023,EMP_249,Soft,0,Daily,1.00,4,5,2
EMP_023,EMP_056,Soft,0,Monthly,0.33,2,3,3
EMP_024,EMP_198,Hard,1,Weekly,0.67,4,4,1
EMP_024,EMP_074,Soft,0,Rarely,0.10,2,2,1
EMP_024,EMP_204,Soft,0,Daily,1.00,4,5,2
EMP_024,EMP_010,Soft,0,Daily,1.00,5,4,3
EMP_025,EMP_218,Hard,1,Daily,1.00,4,4,1
EMP_025,EMP_024,Hard,1,Weekly,0.67,5,3,2
EMP_025,EMP_274,Soft,0,Daily,1.00,5,5,1
EMP_025,EMP_021,Soft,0,Weekly,0.67,5,3,2
EMP_025,EMP_204,Soft,0,Monthly,0.33,3,2,3
EMP_026,EMP_218,Hard,1,Monthly,0.33,3,3,1
EMP_026,EMP_164,Soft,0,Daily,1.00,5,4,1
EMP_026,EMP_262,Soft,0,Daily,1.00,5,5,2
EMP_027,EMP_068,Hard,1,Weekly,0.67,5,5,1
EMP_027,EMP_185,Hard,1,Weekly,0.67,4,3,2
EMP_027,EMP_015,Hard,1,Weekly,0.67,5,3,3
EMP_027,EMP_298,Soft,0,Rarely,0.10,2,2,1
EMP_027,EMP_251,Soft,0,Monthly,0.33,4,3,2
