Source_EMP_ID,Target_EMP_ID,Interaction_Type,Interaction_Frequency,Awareness_Score,Energy_Score,Nomination_Rank
EMP_001,EMP_126,Hard,Daily,5,5,1
EMP_001,EMP_274,Hard,Monthly,2,3,2
EMP_001,EMP_176,Soft,Monthly,2,3,1
EMP_001,EMP_024,Soft,Daily,5,5,2
EMP_002,EMP_084,Hard,Weekly,4,4,1
EMP_002,EMP_050,Hard,Daily,5,5,2
EMP_002,EMP_028,Soft,Daily,5,4,1
EMP_002,EMP_072,Soft,Daily,5,5,2
EMP_003,EMP_159,Hard,Weekly,5,4,1
EMP_003,EMP_181,Hard,Weekly,3,3,2
EMP_003,EMP_196,Soft,Daily,4,5,1
EMP_004,EMP_194,Hard,Monthly,4,4,1
EMP_004,EMP_108,Soft,Rarely,1,3,1
EMP_005,EMP_159,Hard,Weekly,3,3,1
EMP_005,EMP_108,Soft,Monthly,3,3,1
EMP_007,EMP_149,Hard,Weekly,3,4,1
EMP_007,EMP_211,Hard,Daily,5,4,2
EMP_007,EMP_003,Soft,Daily,4,5,1
EMP_007,EMP_262,Soft,Weekly,4,5,2
EMP_007,EMP_186,Soft,Daily,5,5,3
EMP_008,EMP_247,Hard,Monthly,3,2,1
EMP_008,EMP_121,Soft,Weekly,4,5,1
EMP_009,EMP_219,Hard,Daily,4,5,1
EMP_009,EMP_161,Soft,Monthly,3,3,1
EMP_009,EMP_281,Soft,Monthly,3,4,2
EMP_009,EMP_192,Soft,Weekly,4,3,3
EMP_010,EMP_247,Hard,Monthly,2,4,1
EMP_010,EMP_062,Hard,Weekly,4,3,2
EMP_010,EMP_176,Soft,Monthly,4,2,1
EMP_010,EMP_221,Soft,Daily,4,5,2
EMP_011,EMP_056,Hard,Rarely,3,2,1
EMP_011,EMP_020,Hard,Rarely,2,3,2
EMP_011,EMP_298,Soft,Weekly,5,3,1
EMP_012,EMP_126,Hard,Daily,5,5,1
EMP_012,EMP_105,Soft,Monthly,2,3,1
EMP_012,EMP_122,Soft,Weekly,4,3,2
EMP_013,EMP_166,Hard,Daily,5,5,1
EMP_013,EMP_298,Soft,Rarely,2,3,1
EMP_014,EMP_247,Hard,Monthly,3,2,1
EMP_014,EMP_223,Hard,Rarely,2,1,2
EMP_014,EMP_149,Hard,Weekly,5,5,3
EMP_014,EMP_028,Soft,Monthly,3,2,1
EMP_014,EMP_094,Soft,Rarely,3,3,2
EMP_014,EMP_296,Soft,Monthly,3,3,3
EMP_015,EMP_159,Hard,Weekly,3,5,1
EMP_015,EMP_024,Hard,Monthly,4,2,2
EMP_015,EMP_039,Hard,Monthly,3,4,3
EMP_015,EMP_190,Soft,Weekly,5,3,1
EMP_016,EMP_166,Hard,Weekly,3,5,1
EMP_016,EMP_184,Hard,Monthly,3,3,2
EMP_016,EMP_131,Soft,Weekly,3,4,1
EMP_016,EMP_151,Soft,Rarely,2,3,2
EMP_016,EMP_139,Soft,Weekly,5,3,3
EMP_017,EMP_247,Hard,Weekly,4,3,1
EMP_017,EMP_092,Hard,Weekly,4,4,2
EMP_017,EMP_202,Soft,Daily,5,5,1
EMP_018,EMP_219,Hard,Weekly,5,5,1
EMP_018,EMP_230,Soft,Daily,5,5,1
EMP_018,EMP_107,Soft,Weekly,4,3,2
EMP_019,EMP_218,Hard,Daily,5,5,1
EMP_019,EMP_072,Hard,Weekly,5,3,2
EMP_019,EMP_277,Hard,Weekly,5,3,3
EMP_019,EMP_062,Soft,Daily,5,5,1
EMP_019,EMP_109,Soft,Weekly,4,3,2
EMP_020,EMP_090,Hard,Weekly,4,3,1
EMP_020,EMP_253,Hard,Rarely,1,3,2
EMP_020,EMP_283,Hard,Rarely,2,1,3
EMP_020,EMP_196,Soft,Daily,4,5,1
EMP_021,EMP_126,Hard,Weekly,5,5,1
EMP_021,EMP_108,Hard,Monthly,3,2,2
EMP_021,EMP_191,Hard,Daily,5,4,3
EMP_021,EMP_053,Soft,Monthly,2,2,1
EMP_021,EMP_049,Soft,Monthly,4,2,2
EMP_023,EMP_198,Hard,Monthly,3,4,1
EMP_023,EMP_070,Hard,Daily,5,5,2
EMP_023,EMP_042,Soft,Weekly,4,5,1
EMP_023,EMP_249,Soft,Daily,4,5,2
EMP_023,EMP_056,Soft,Monthly,2,3,3
EMP_024,EMP_198,Hard,Weekly,4,4,1
EMP_024,EMP_074,Soft,Rarely,2,2,1
EMP_024,EMP_204,Soft,Daily,4,5,2
EMP_024,EMP_010,Soft,Daily,5,4,3
EMP_025,EMP_218,Hard,Daily,4,4,1
EMP_025,EMP_024,Hard,Weekly,5,3,2
EMP_025,EMP_274,Soft,Daily,5,5,1
EMP_025,EMP_021,Soft,Weekly,5,3,2
EMP_025,EMP_204,Soft,Monthly,3,2,3
EMP_026,EMP_218,Hard,Monthly,3,3,1
EMP_026,EMP_164,Soft,Daily,5,4,1
EMP_026,EMP_262,Soft,Daily,5,5,2
EMP_027,EMP_068,Hard,Weekly,5,5,1
EMP_027,EMP_185,Hard,Weekly,4,3,2
EMP_027,EMP_015,Hard,Weekly,5,3,3
EMP_027,EMP_298,Soft,Rarely,2,2,1
EMP_027,EMP_251,Soft,Monthly,4,3,2
EMP_027,EMP_007,Soft,Monthly,3,3,3
EMP_028,EMP_210,Soft,Weekly,3,4,1
EMP_028,EMP_022,Soft,Weekly,5,4,2
EMP_028,EMP_221,Soft,Weekly,5,5,3
EMP_029,EMP_247,Hard,Monthly,3,3,1
EMP_029,EMP_232,Soft,Weekly,4,3,1
EMP_029,EMP_105,Soft,Monthly,3,4,2
EMP_031,EMP_134,Hard,Weekly,3,5,1
EMP_031,EMP_196,Soft,Rarely,1,2,1
EMP_031,EMP_042,Soft,Weekly,5,5,2
EMP_032,EMP_198,Hard,Monthly,3,4,1
EMP_032,EMP_211,Soft,Weekly,4,5,1
EMP_033,EMP_247,Hard,Daily,5,5,1
EMP_033,EMP_231,Hard,Weekly,4,3,2
EMP_033,EMP_151,Hard,Monthly,3,2,3
EMP_033,EMP_267,Soft,Weekly,4,4,1
EMP_033,EMP_137,Soft,Monthly,2,2,2
EMP_034,EMP_247,Hard,Daily,5,5,1
EMP_034,EMP_144,Soft,Weekly,3,3,1
EMP_035,EMP_219,Hard,Daily,5,4,1
EMP_035,EMP_210,Soft,Daily,5,5,1
EMP_035,EMP_154,Soft,Rarely,2,1,2
EMP_038,EMP_159,Hard,Daily,4,4,1
EMP_038,EMP_189,Hard,Daily,4,4,2
EMP_038,EMP_298,Soft,Monthly,3,2,1
EMP_038,EMP_064,Soft,Monthly,3,2,2
EMP_039,EMP_126,Hard,Weekly,5,3,1
EMP_039,EMP_204,Hard,Daily,5,5,2
EMP_039,EMP_019,Hard,Daily,5,5,3
EMP_039,EMP_130,Soft,Monthly,2,4,1
EMP_039,EMP_089,Soft,Daily,5,4,2
EMP_040,EMP_198,Hard,Daily,4,5,1
EMP_040,EMP_232,Soft,Daily,5,4,1
EMP_041,EMP_287,Hard,Monthly,4,3,1
EMP_041,EMP_105,Hard,Daily,5,4,2
EMP_041,EMP_197,Soft,Rarely,2,3,1
EMP_041,EMP_260,Soft,Weekly,5,4,2
EMP_041,EMP_066,Soft,Daily,4,4,3
EMP_042,EMP_159,Hard,Weekly,5,5,1
EMP_042,EMP_139,Hard,Monthly,4,3,2
EMP_042,EMP_062,Soft,Daily,4,5,1
EMP_042,EMP_208,Soft,Rarely,3,3,2
EMP_042,EMP_019,Soft,Monthly,3,4,3
EMP_043,EMP_194,Hard,Monthly,3,2,1
EMP_043,EMP_114,Hard,Daily,5,4,2
EMP_043,EMP_217,Soft,Daily,4,4,1
EMP_043,EMP_149,Soft,Daily,5,4,2
EMP_044,EMP_166,Hard,Weekly,4,3,1
EMP_044,EMP_298,Soft,Rarely,1,3,1
EMP_045,EMP_075,Hard,Weekly,3,4,1
EMP_045,EMP_263,Hard,Monthly,2,3,2
EMP_045,EMP_051,Soft,Monthly,2,2,1
EMP_045,EMP_289,Soft,Weekly,3,4,2
EMP_046,EMP_159,Hard,Monthly,3,3,1
EMP_046,EMP_207,Soft,Weekly,4,5,1
EMP_047,EMP_166,Hard,Daily,4,4,1
EMP_047,EMP_180,Hard,Monthly,3,3,2
EMP_047,EMP_150,Hard,Rarely,3,3,3
EMP_047,EMP_062,Soft,Daily,5,4,1
EMP_047,EMP_090,Soft,Weekly,5,4,2
EMP_047,EMP_193,Soft,Monthly,3,3,3
EMP_048,EMP_219,Hard,Rarely,2,3,1
EMP_048,EMP_291,Hard,Weekly,4,4,2
EMP_048,EMP_065,Soft,Daily,4,4,1
EMP_048,EMP_007,Soft,Weekly,4,3,2
EMP_049,EMP_215,Hard,Weekly,2,3,1
EMP_050,EMP_247,Hard,Daily,5,5,1
EMP_050,EMP_153,Hard,Daily,5,5,2
EMP_050,EMP_288,Soft,Rarely,3,1,1
EMP_050,EMP_245,Soft,Rarely,2,1,2
EMP_052,EMP_048,Hard,Monthly,2,4,1
EMP_053,EMP_218,Hard,Weekly,4,4,1
EMP_053,EMP_197,Soft,Monthly,3,3,1
EMP_053,EMP_163,Soft,Weekly,3,5,2
EMP_053,EMP_025,Soft,Monthly,3,4,3
EMP_054,EMP_046,Hard,Rarely,2,2,1
EMP_054,EMP_015,Hard,Weekly,4,5,2
EMP_054,EMP_080,Soft,Monthly,3,3,1
EMP_054,EMP_147,Soft,Weekly,4,3,2
EMP_054,EMP_241,Soft,Weekly,4,5,3
EMP_055,EMP_159,Hard,Daily,5,4,1
EMP_055,EMP_029,Hard,Weekly,5,4,2
EMP_055,EMP_018,Hard,Weekly,3,5,3
EMP_055,EMP_056,Soft,Monthly,3,2,1
EMP_055,EMP_237,Soft,Monthly,4,4,2
EMP_056,EMP_247,Hard,Rarely,2,3,1
EMP_056,EMP_193,Hard,Weekly,4,5,2
EMP_056,EMP_267,Soft,Rarely,2,3,1
EMP_056,EMP_029,Soft,Monthly,3,4,2
EMP_057,EMP_181,Hard,Rarely,2,2,1
EMP_057,EMP_282,Hard,Rarely,2,2,2
EMP_057,EMP_114,Soft,Rarely,2,1,1
EMP_057,EMP_146,Soft,Monthly,4,3,2
EMP_058,EMP_011,Hard,Daily,5,4,1
EMP_058,EMP_225,Soft,Daily,4,5,1
EMP_058,EMP_078,Soft,Monthly,3,2,2
EMP_060,EMP_170,Hard,Rarely,2,2,1
EMP_060,EMP_075,Hard,Weekly,5,3,2
EMP_060,EMP_087,Hard,Weekly,4,5,3
EMP_060,EMP_196,Soft,Monthly,3,2,1
EMP_061,EMP_068,Hard,Weekly,5,5,1
EMP_061,EMP_123,Hard,Weekly,3,4,2
EMP_061,EMP_101,Hard,Weekly,5,3,3
EMP_061,EMP_252,Soft,Weekly,4,5,1
EMP_061,EMP_007,Soft,Weekly,4,5,2
EMP_062,EMP_166,Hard,Weekly,4,5,1
EMP_062,EMP_230,Soft,Daily,4,5,1
EMP_062,EMP_169,Soft,Daily,5,5,2
EMP_063,EMP_198,Hard,Weekly,4,3,1
EMP_063,EMP_220,Hard,Rarely,2,2,2
EMP_063,EMP_067,Hard,Daily,4,5,3
EMP_063,EMP_164,Soft,Monthly,3,2,1
EMP_063,EMP_295,Soft,Monthly,3,3,2
EMP_064,EMP_247,Hard,Daily,4,5,1
EMP_064,EMP_164,Soft,Monthly,3,2,1
EMP_064,EMP_040,Soft,Daily,4,5,2
EMP_064,EMP_018,Soft,Weekly,3,5,3
EMP_065,EMP_114,Soft,Daily,4,5,1
EMP_065,EMP_025,Soft,Weekly,4,5,2
EMP_066,EMP_198,Hard,Daily,5,5,1
EMP_066,EMP_169,Hard,Monthly,3,4,2
EMP_066,EMP_298,Soft,Weekly,5,3,1
EMP_066,EMP_177,Soft,Monthly,4,4,2
EMP_066,EMP_244,Soft,Daily,5,5,3
EMP_068,EMP_068,Hard,Daily,5,5,1
EMP_068,EMP_092,Hard,Daily,4,5,2
EMP_068,EMP_158,Soft,Rarely,2,2,1
EMP_068,EMP_298,Soft,Daily,5,5,2
EMP_069,EMP_159,Hard,Weekly,3,5,1
EMP_069,EMP_111,Hard,Weekly,3,5,2
EMP_069,EMP_252,Soft,Rarely,3,1,1
EMP_069,EMP_117,Soft,Weekly,3,5,2
EMP_069,EMP_033,Soft,Monthly,3,2,3
EMP_070,EMP_247,Hard,Rarely,3,3,1
EMP_070,EMP_114,Soft,Weekly,3,5,1
EMP_070,EMP_045,Soft,Monthly,2,2,2
EMP_070,EMP_105,Soft,Weekly,4,4,3
EMP_071,EMP_076,Hard,Monthly,2,2,1
EMP_072,EMP_126,Hard,Daily,4,5,1
EMP_072,EMP_279,Hard,Monthly,3,3,2
EMP_072,EMP_176,Soft,Monthly,4,3,1
EMP_072,EMP_009,Soft,Rarely,1,3,2
EMP_072,EMP_141,Soft,Weekly,4,5,3
EMP_073,EMP_179,Hard,Daily,5,5,1
EMP_073,EMP_196,Soft,Rarely,2,1,1
EMP_073,EMP_097,Soft,Rarely,2,2,2
EMP_073,EMP_055,Soft,Rarely,2,2,3
EMP_074,EMP_159,Hard,Weekly,5,4,1
EMP_074,EMP_210,Soft,Weekly,5,3,1
EMP_074,EMP_088,Soft,Weekly,4,3,2
EMP_074,EMP_278,Soft,Daily,5,5,3
EMP_075,EMP_247,Hard,Weekly,4,3,1
EMP_075,EMP_117,Hard,Monthly,4,3,2
EMP_075,EMP_105,Soft,Monthly,4,2,1
EMP_075,EMP_066,Soft,Daily,4,5,2
EMP_075,EMP_142,Soft,Weekly,4,5,3
EMP_076,EMP_056,Hard,Daily,5,5,1
EMP_076,EMP_073,Hard,Daily,5,5,2
EMP_076,EMP_058,Hard,Rarely,1,2,3
EMP_076,EMP_114,Soft,Monthly,2,2,1
EMP_076,EMP_238,Soft,Monthly,3,3,2
EMP_076,EMP_074,Soft,Weekly,4,3,3
EMP_077,EMP_218,Hard,Rarely,1,2,1
EMP_077,EMP_256,Hard,Weekly,4,5,2
EMP_077,EMP_131,Hard,Daily,5,5,3
EMP_077,EMP_108,Soft,Weekly,3,4,1
EMP_078,EMP_126,Hard,Weekly,5,5,1
EMP_078,EMP_205,Soft,Daily,5,5,1
EMP_078,EMP_090,Soft,Weekly,3,5,2
EMP_078,EMP_254,Soft,Daily,5,4,3
EMP_079,EMP_105,Hard,Daily,4,5,1
EMP_079,EMP_091,Hard,Daily,4,5,2
EMP_079,EMP_030,Soft,Daily,4,5,1
EMP_080,EMP_126,Hard,Daily,5,5,1
EMP_080,EMP_094,Soft,Weekly,4,5,1
EMP_080,EMP_275,Soft,Daily,4,5,2
EMP_080,EMP_101,Soft,Weekly,4,5,3
EMP_081,EMP_068,Hard,Monthly,3,2,1
EMP_081,EMP_232,Soft,Daily,4,5,1
EMP_082,EMP_068,Hard,Daily,5,5,1
EMP_082,EMP_285,Hard,Monthly,2,3,2
EMP_082,EMP_006,Soft,Daily,5,5,1
EMP_082,EMP_191,Soft,Daily,5,5,2
EMP_083,EMP_159,Hard,Monthly,4,2,1
EMP_083,EMP_289,Hard,Weekly,5,5,2
EMP_083,EMP_121,Hard,Weekly,3,4,3
EMP_083,EMP_267,Soft,Weekly,4,5,1
EMP_083,EMP_252,Soft,Rarely,1,2,2
EMP_084,EMP_247,Hard,Weekly,4,4,1
EMP_084,EMP_156,Soft,Daily,5,4,1
EMP_084,EMP_232,Soft,Rarely,2,1,2
EMP_084,EMP_129,Soft,Daily,4,5,3
EMP_085,EMP_198,Hard,Daily,5,5,1
EMP_085,EMP_015,Hard,Monthly,2,4,2
EMP_085,EMP_065,Soft,Rarely,2,2,1
EMP_085,EMP_243,Soft,Rarely,3,1,2
EMP_085,EMP_285,Soft,Weekly,4,4,3
EMP_086,EMP_126,Hard,Monthly,2,2,1
EMP_086,EMP_226,Hard,Monthly,2,3,2
EMP_086,EMP_080,Soft,Monthly,4,4,1
EMP_088,EMP_074,Hard,Weekly,5,5,1
EMP_088,EMP_267,Soft,Monthly,2,3,1
EMP_088,EMP_075,Soft,Weekly,4,3,2
EMP_090,EMP_218,Hard,Weekly,4,4,1
EMP_090,EMP_201,Soft,Weekly,4,4,1
EMP_090,EMP_060,Soft,Daily,5,4,2
EMP_091,EMP_126,Hard,Daily,5,5,1
EMP_091,EMP_016,Hard,Weekly,5,4,2
EMP_091,EMP_052,Hard,Rarely,1,3,3
EMP_091,EMP_173,Soft,Monthly,3,3,1
EMP_091,EMP_182,Soft,Daily,4,4,2
EMP_092,EMP_198,Hard,Weekly,5,5,1
EMP_092,EMP_131,Hard,Monthly,2,2,2
EMP_092,EMP_013,Hard,Monthly,4,2,3
EMP_092,EMP_144,Soft,Daily,5,5,1
EMP_092,EMP_043,Soft,Weekly,4,3,2
EMP_092,EMP_262,Soft,Rarely,2,3,3
EMP_093,EMP_219,Hard,Monthly,3,2,1
EMP_093,EMP_056,Hard,Weekly,5,4,2
EMP_093,EMP_035,Hard,Weekly,5,4,3
EMP_093,EMP_197,Soft,Daily,5,5,1
EMP_093,EMP_232,Soft,Daily,5,5,2
EMP_093,EMP_144,Soft,Weekly,5,5,3
EMP_094,EMP_159,Hard,Weekly,4,4,1
EMP_094,EMP_176,Soft,Weekly,5,5,1
EMP_094,EMP_237,Soft,Monthly,3,3,2
EMP_095,EMP_166,Hard,Daily,5,4,1
EMP_095,EMP_132,Soft,Weekly,3,5,1
EMP_096,EMP_166,Hard,Daily,5,5,1
EMP_096,EMP_025,Hard,Rarely,1,2,2
EMP_096,EMP_172,Hard,Weekly,3,4,3
EMP_096,EMP_065,Soft,Monthly,3,4,1
EMP_097,EMP_280,Hard,Daily,5,5,1
EMP_097,EMP_081,Hard,Weekly,4,5,2
EMP_097,EMP_137,Hard,Monthly,4,2,3
EMP_097,EMP_272,Soft,Weekly,4,3,1
EMP_097,EMP_092,Soft,Monthly,4,2,2
EMP_097,EMP_174,Soft,Weekly,4,4,3
EMP_098,EMP_024,Hard,Monthly,3,3,1
EMP_098,EMP_007,Hard,Daily,5,5,2
EMP_098,EMP_062,Soft,Monthly,3,2,1
EMP_098,EMP_144,Soft,Weekly,5,4,2
EMP_098,EMP_159,Soft,Daily,4,5,3
EMP_099,EMP_126,Hard,Daily,5,5,1
EMP_099,EMP_197,Soft,Monthly,2,3,1
EMP_101,EMP_068,Hard,Monthly,3,2,1
EMP_101,EMP_007,Hard,Monthly,3,3,2
EMP_101,EMP_224,Hard,Daily,5,5,3
EMP_101,EMP_279,Soft,Weekly,5,3,1
EMP_101,EMP_008,Soft,Monthly,3,4,2
EMP_102,EMP_198,Hard,Monthly,4,2,1
EMP_102,EMP_053,Soft,Weekly,4,4,1
EMP_102,EMP_250,Soft,Monthly,2,4,2
EMP_103,EMP_247,Hard,Daily,5,5,1
EMP_103,EMP_021,Hard,Monthly,3,4,2
EMP_103,EMP_272,Hard,Monthly,3,4,3
EMP_103,EMP_207,Soft,Daily,5,4,1
EMP_103,EMP_078,Soft,Monthly,4,3,2
EMP_103,EMP_123,Soft,Weekly,5,4,3
EMP_104,EMP_068,Hard,Monthly,3,4,1
EMP_104,EMP_163,Hard,Rarely,2,3,2
EMP_104,EMP_267,Soft,Daily,5,5,1
EMP_104,EMP_241,Soft,Weekly,4,4,2
EMP_104,EMP_093,Soft,Weekly,4,5,3
EMP_105,EMP_159,Hard,Daily,4,5,1
EMP_105,EMP_090,Soft,Monthly,3,4,1
EMP_105,EMP_107,Soft,Daily,5,5,2
EMP_105,EMP_214,Soft,Weekly,4,5,3
EMP_107,EMP_219,Hard,Weekly,4,4,1
EMP_107,EMP_080,Hard,Monthly,4,3,2
EMP_107,EMP_268,Hard,Monthly,4,4,3
EMP_107,EMP_248,Soft,Monthly,4,3,1
EMP_107,EMP_173,Soft,Daily,5,4,2
EMP_107,EMP_276,Soft,Weekly,4,4,3
EMP_108,EMP_126,Hard,Monthly,3,3,1
EMP_108,EMP_232,Soft,Weekly,4,5,1
EMP_108,EMP_243,Soft,Weekly,3,5,2
EMP_108,EMP_245,Soft,Weekly,5,4,3
EMP_109,EMP_185,Hard,Monthly,3,3,1
EMP_109,EMP_049,Soft,Weekly,3,5,1
EMP_109,EMP_133,Soft,Weekly,3,5,2
EMP_111,EMP_068,Hard,Monthly,2,2,1
EMP_111,EMP_090,Hard,Daily,5,5,2
EMP_111,EMP_148,Hard,Weekly,3,4,3
EMP_111,EMP_273,Soft,Monthly,3,4,1
EMP_111,EMP_021,Soft,Weekly,4,3,2
EMP_111,EMP_217,Soft,Weekly,5,4,3
EMP_112,EMP_218,Hard,Rarely,2,3,1
EMP_112,EMP_178,Hard,Rarely,1,2,2
EMP_112,EMP_298,Soft,Weekly,4,5,1
EMP_112,EMP_246,Soft,Rarely,3,2,2
EMP_113,EMP_166,Hard,Daily,4,5,1
EMP_113,EMP_191,Hard,Weekly,4,3,2
EMP_113,EMP_286,Hard,Weekly,3,5,3
EMP_113,EMP_164,Soft,Weekly,5,3,1
EMP_113,EMP_220,Soft,Weekly,4,3,2
EMP_114,EMP_218,Hard,Rarely,1,2,1
EMP_114,EMP_197,Soft,Monthly,2,3,1
EMP_114,EMP_006,Soft,Monthly,3,3,2
EMP_114,EMP_053,Soft,Rarely,1,2,3
EMP_115,EMP_126,Hard,Weekly,4,3,1
EMP_115,EMP_177,Hard,Daily,5,4,2
EMP_115,EMP_102,Hard,Rarely,2,1,3
EMP_115,EMP_196,Soft,Rarely,2,3,1
EMP_116,EMP_219,Hard,Monthly,2,4,1
EMP_116,EMP_213,Hard,Monthly,4,3,2
EMP_116,EMP_272,Soft,Monthly,2,2,1
EMP_116,EMP_147,Soft,Weekly,3,5,2
EMP_116,EMP_082,Soft,Daily,5,5,3
EMP_117,EMP_116,Hard,Monthly,4,3,1
EMP_117,EMP_053,Soft,Weekly,4,5,1
EMP_117,EMP_239,Soft,Weekly,5,4,2
EMP_118,EMP_068,Hard,Monthly,3,4,1
EMP_118,EMP_299,Hard,Weekly,3,3,2
EMP_118,EMP_125,Hard,Rarely,1,2,3
EMP_118,EMP_017,Soft,Weekly,4,3,1
EMP_118,EMP_035,Soft,Weekly,5,5,2
EMP_119,EMP_218,Hard,Weekly,4,3,1
EMP_119,EMP_220,Hard,Weekly,3,3,2
EMP_119,EMP_181,Hard,Monthly,2,4,3
EMP_119,EMP_105,Soft,Rarely,2,1,1
EMP_119,EMP_006,Soft,Daily,5,5,2
EMP_119,EMP_102,Soft,Weekly,3,5,3
EMP_120,EMP_218,Hard,Monthly,4,2,1
EMP_120,EMP_118,Hard,Monthly,3,3,2
EMP_120,EMP_168,Hard,Rarely,3,2,3
EMP_120,EMP_259,Soft,Weekly,3,4,1
EMP_121,EMP_159,Hard,Weekly,3,5,1
EMP_121,EMP_130,Hard,Weekly,5,5,2
EMP_121,EMP_262,Hard,Monthly,3,4,3
EMP_121,EMP_210,Soft,Weekly,3,5,1
EMP_123,EMP_218,Hard,Monthly,2,2,1
EMP_123,EMP_193,Hard,Monthly,3,2,2
EMP_123,EMP_017,Soft,Daily,5,5,1
EMP_123,EMP_101,Soft,Weekly,4,4,2
EMP_123,EMP_108,Soft,Weekly,5,4,3
EMP_124,EMP_159,Hard,Weekly,4,3,1
EMP_124,EMP_134,Hard,Daily,5,5,2
EMP_124,EMP_099,Hard,Monthly,3,3,3
EMP_124,EMP_288,Soft,Weekly,5,4,1
EMP_124,EMP_241,Soft,Weekly,5,5,2
EMP_125,EMP_198,Hard,Monthly,3,4,1
EMP_125,EMP_196,Soft,Rarely,1,3,1
EMP_126,EMP_040,Hard,Daily,4,5,1
EMP_126,EMP_164,Soft,Weekly,4,3,1
EMP_127,EMP_126,Hard,Rarely,3,3,1
EMP_127,EMP_194,Hard,Weekly,5,3,2
EMP_127,EMP_095,Soft,Rarely,2,3,1
EMP_127,EMP_221,Soft,Daily,5,4,2
EMP_129,EMP_159,Hard,Weekly,5,4,1
