EMP_ID,Seniority,Team,Years_Exp,Profile_Type,A1_PostgreSQL,A2_Linux,A3_Python,A4_Cloud,A5_InfoMgmt,A6_Networking,A7_DataAnalytics,A8_API,A9_TechConsult,B1_English,B2_German,B3_French,B4_OtherLang,C1_ClientMeetings,C2_ScopingSessions,C3_IndustryAdvice,D1_KnowledgeSessions,D2_MentoringCount,D3_CrossTeamContrib,E1_TeamLeadCount,E2_EscalationsToMe,E3_UnblockCount,F1_IncidentsCalled,F2_ProblemConsults,F3_InnovationsAdopted,G1_MultiCountryProj,G2_CulturalBridging,H1_StakeholderExplain,H2_DocsAuthored,H3_PresentationsGiven,Isolation_Risk_Flag
EMP_001,Mid-level,Solution Architecture,16,balanced,3,3,2,3,1,2,1,2,3,3,2,1,2,3,3,4,1,1,3,3,1,3,4,2,3,4,4,4,3,3,0
EMP_002,Mid-level,Data Engineering,17,balanced,3,4,4,3,3,3,3,3,3,2,2,0,1,4,5,3,4,4,3,2,2,3,3,2,2,2,4,0,5,4,0
EMP_003,Mid-level,Platform Engineering,13,balanced,3,4,4,2,4,4,2,1,1,2,2,1,1,2,2,4,1,2,4,2,4,3,4,4,5,4,2,4,3,3,0
EMP_004,Mid-level,Information Management,7,balanced,1,5,4,3,3,4,2,4,2,3,2,1,0,3,1,4,3,4,3,2,2,2,3,3,4,2,1,4,5,3,0
EMP_005,Junior,Information Management,10,balanced,4,3,5,4,3,3,4,3,0,3,2,1,1,3,3,2,4,4,2,3,3,4,3,3,4,4,4,3,2,5,0
EMP_006,Junior,Solution Architecture,5,island,2,1,1,3,1,3,1,2,2,3,1,2,2,2,0,1,0,0,1,0,4,0,1,0,0,1,0,0,0,2,1
EMP_007,Junior,Client Services,9,balanced,5,3,4,1,3,3,4,1,2,3,2,1,2,3,3,3,4,3,2,2,2,2,4,4,4,3,1,3,3,5,0
EMP_008,Junior,Data Engineering,13,balanced,3,3,2,3,2,2,3,4,2,3,1,0,1,2,4,4,3,3,2,3,3,3,3,3,4,3,2,1,2,5,0
EMP_009,Senior,Information Management,13,balanced,3,3,2,3,3,2,5,3,2,5,2,0,0,2,4,3,3,5,3,4,3,3,4,4,2,3,4,2,2,2,0
EMP_010,Mid-level,Platform Engineering,17,balanced,2,3,1,3,2,2,3,4,1,2,2,0,2,2,1,2,3,2,5,2,2,3,3,4,3,2,2,3,2,3,0
EMP_011,Junior,Solution Architecture,8,balanced,3,2,3,3,3,2,3,2,1,4,3,2,2,4,3,4,2,5,3,4,3,4,3,2,2,4,3,4,3,3,0
EMP_012,Mid-level,Analytics & BI,5,balanced,2,2,3,2,3,2,1,4,2,4,0,2,1,5,2,3,3,3,3,5,4,3,2,4,4,4,1,1,2,3,0
EMP_013,Junior,Information Management,7,balanced,3,2,3,3,1,3,4,2,1,3,2,2,1,3,3,1,3,1,2,3,4,2,5,2,1,3,2,4,3,4,0
EMP_014,Junior,Platform Engineering,11,balanced,5,2,2,3,2,3,2,2,2,3,1,1,1,3,3,3,2,3,3,2,2,3,5,3,2,2,3,4,1,3,0
EMP_015,Mid-level,Data Engineering,15,balanced,2,3,3,3,3,3,2,4,3,2,2,0,2,2,3,3,2,4,2,1,2,3,3,4,3,4,3,2,4,3,0
EMP_016,Junior,Client Services,5,balanced,4,3,4,3,2,3,5,3,1,3,2,0,1,3,3,5,0,4,3,3,4,5,4,4,4,1,4,3,3,2,0
EMP_017,Mid-level,Analytics & BI,6,balanced,2,4,3,3,4,3,4,3,3,2,2,2,1,3,3,4,3,5,5,4,4,5,4,2,4,4,3,4,2,2,0
EMP_018,Junior,Solution Architecture,14,balanced,3,4,3,2,3,3,3,2,2,1,1,1,1,3,4,4,3,2,2,5,3,2,2,3,2,2,2,3,4,2,0
EMP_019,Mid-level,Platform Engineering,16,balanced,3,5,4,3,5,3,2,2,3,3,0,2,0,4,2,5,3,3,3,5,1,1,4,3,5,2,2,3,1,2,0
EMP_020,Mid-level,Platform Engineering,3,balanced,4,3,1,2,3,2,3,4,2,3,0,0,2,4,2,3,3,4,5,1,3,3,1,4,3,2,5,3,4,5,0
EMP_021,Senior,Information Management,16,balanced,2,3,3,3,5,4,3,5,0,3,1,2,1,4,2,4,3,5,3,4,2,5,1,1,2,4,2,4,4,3,0
EMP_022,Mid-level,Client Services,3,island,3,2,0,2,3,1,2,2,0,2,1,0,1,2,0,3,0,3,2,2,2,0,1,0,3,2,1,2,3,1,1
EMP_023,Junior,Solution Architecture,3,balanced,5,4,3,4,2,2,3,2,2,3,2,0,2,2,2,3,4,3,3,3,2,2,3,3,4,2,1,1,4,3,0
EMP_024,Junior,Client Services,4,balanced,1,2,4,4,4,3,3,3,1,3,1,0,1,2,2,5,3,0,3,2,3,5,4,5,3,3,4,1,3,4,0
EMP_025,Mid-level,Data Engineering,11,balanced,1,1,3,2,3,3,3,4,3,3,0,1,1,3,4,3,1,4,2,1,3,3,4,4,2,2,2,2,3,5,0
EMP_026,Mid-level,Analytics & BI,11,balanced,1,4,2,5,3,3,4,3,1,2,1,2,0,4,2,3,4,2,5,4,3,2,3,2,2,3,4,3,2,4,0
EMP_027,Senior,Client Services,4,balanced,2,3,5,4,3,1,2,3,2,3,3,1,0,3,3,3,2,3,2,3,2,3,3,0,3,4,3,3,3,4,0
EMP_028,Senior,Client Services,15,broker,4,4,2,3,2,2,2,2,1,4,1,1,0,4,3,3,4,2,3,3,5,4,4,4,4,4,2,1,3,4,0
EMP_029,Senior,Solution Architecture,9,balanced,2,3,2,4,3,3,3,4,2,4,2,1,2,5,4,3,2,3,3,3,2,4,5,4,3,2,3,4,5,1,0
EMP_030,Junior,Client Services,7,island,2,3,3,0,2,2,2,1,1,2,2,1,2,2,1,1,2,2,3,2,2,1,0,3,0,2,2,1,1,0,1
EMP_031,Junior,Client Services,8,balanced,2,4,2,3,1,2,5,3,3,3,1,1,2,4,2,4,2,3,5,2,2,4,1,3,1,3,3,5,4,2,0
EMP_032,Senior,Analytics & BI,2,balanced,3,3,3,3,4,4,1,4,3,3,0,1,1,0,2,4,1,4,3,4,4,2,3,3,4,1,4,4,1,5,0
EMP_033,Mid-level,Platform Engineering,10,balanced,4,3,5,4,4,3,3,3,2,3,1,0,1,4,4,3,3,3,2,4,3,3,1,4,3,3,3,3,3,2,0
EMP_034,Junior,Platform Engineering,8,balanced,3,4,2,3,3,3,2,5,3,4,0,1,1,4,4,1,3,3,2,3,3,4,1,5,1,3,4,4,2,5,0
EMP_035,Senior,Client Services,11,balanced,2,2,1,5,3,3,5,4,1,2,2,1,0,4,4,2,1,2,3,3,1,4,1,4,3,2,5,5,2,3,0
EMP_036,Junior,Information Management,4,island,1,2,1,1,2,2,2,2,0,2,1,1,2,1,1,0,2,0,2,0,2,1,0,1,0,1,1,2,3,1,1
