EMP_ID,Team,Seniority,Years_Exp,Profile_Type,in_degree,out_degree,in_strength,out_strength,betweenness_centrality,Cross_Team_Tie_Count,Weak_Tie_Outbound_Count,Weak_Cross_Team_Tie_Count,OutboundScarcity,WeakWeightShare,TargetConcentration,WeakBridgeDeficit,Isolation_Score,Isolation_Risk_Flag,Isolation_Risk_Tier
EMP_001,Solution Architecture,Mid-level,16,balanced,0,4,0.0,2.66,0.0,2,2,2,0.3333,0.5,0.25,0.6,0.4208,0,Medium
EMP_002,Data Engineering,Mid-level,17,balanced,0,4,0.0,3.67,0.0,3,0,0,0.3333,0.0,0.25,1.0,0.3958,0,Low
EMP_003,Platform Engineering,Mid-level,13,balanced,3,3,2.34,2.34,0.020466,1,0,0,0.5,0.0,0.3333,1.0,0.4583,0,Medium
EMP_004,Information Management,Mid-level,7,balanced,1,2,1.0,0.43,0.000258,1,2,2,0.6667,1.0,0.5,0.6,0.6917,1,High
EMP_005,Information Management,Junior,10,balanced,0,2,0.0,1.0,0.0,2,1,1,0.6667,0.5,0.5,0.8,0.6167,0,Medium
EMP_006,Solution Architecture,Junior,5,island,4,0,2.66,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_007,Client Services,Junior,9,balanced,7,5,4.0,4.34,0.034795,3,0,0,0.1667,0.0,0.2,1.0,0.3417,0,Low
EMP_008,Data Engineering,Junior,13,balanced,2,2,0.43,1.0,0.000533,2,1,1,0.6667,0.5,0.5,0.8,0.6167,0,Medium
EMP_009,Information Management,Senior,13,balanced,1,4,0.1,2.33,0.000196,2,2,1,0.3333,0.5,0.25,0.8,0.4708,0,Medium
EMP_010,Platform Engineering,Mid-level,17,balanced,2,4,1.1,2.33,0.006893,3,2,2,0.3333,0.5,0.25,0.6,0.4208,0,Medium
EMP_011,Solution Architecture,Junior,8,balanced,2,3,1.1,0.87,0.00142,2,2,2,0.5,0.6667,0.3333,0.6,0.525,0,Medium
EMP_012,Analytics & BI,Mid-level,5,balanced,3,3,1.77,2.0,0.007387,1,1,1,0.5,0.3333,0.3333,0.8,0.4916,0,Medium
EMP_013,Information Management,Junior,7,balanced,2,2,1.0,1.1,0.000325,2,1,1,0.6667,0.5,0.5,0.8,0.6167,0,Medium
EMP_014,Platform Engineering,Junior,11,balanced,1,6,0.67,1.86,0.038024,3,5,5,0.0,0.8333,0.1667,0.0,0.25,0,Low
EMP_015,Data Engineering,Mid-level,15,balanced,3,4,1.67,2.0,0.010327,3,2,2,0.3333,0.5,0.25,0.6,0.4208,0,Medium
EMP_016,Client Services,Junior,5,balanced,2,5,1.67,2.44,0.00173,3,2,2,0.1667,0.4,0.2,0.6,0.3417,0,Low
EMP_017,Analytics & BI,Mid-level,6,balanced,5,3,3.67,2.34,0.009888,1,0,0,0.5,0.0,0.3333,1.0,0.4583,0,Medium
EMP_018,Solution Architecture,Junior,14,balanced,4,3,3.01,2.34,0.032932,1,0,0,0.5,0.0,0.3333,1.0,0.4583,0,Medium
EMP_019,Platform Engineering,Mid-level,16,balanced,3,5,2.0,4.01,0.014225,4,0,0,0.1667,0.0,0.2,1.0,0.3417,0,Low
EMP_020,Platform Engineering,Mid-level,3,balanced,3,4,1.43,1.87,0.009543,2,2,1,0.3333,0.5,0.25,0.8,0.4708,0,Medium
EMP_021,Information Management,Senior,16,balanced,6,5,3.0,2.66,0.015854,2,3,3,0.1667,0.6,0.2,0.4,0.3417,0,Low
EMP_022,Client Services,Mid-level,3,island,2,0,1.34,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_023,Solution Architecture,Junior,3,balanced,1,5,0.67,3.33,0.011436,1,2,2,0.1667,0.4,0.2,0.6,0.3417,0,Low
EMP_024,Client Services,Junior,4,balanced,9,4,5.44,2.77,0.014801,2,1,1,0.3333,0.25,0.25,0.8,0.4083,0,Low
EMP_025,Data Engineering,Mid-level,11,balanced,3,5,1.1,3.67,0.013884,3,1,1,0.1667,0.2,0.2,0.8,0.3417,0,Low
EMP_026,Analytics & BI,Mid-level,11,balanced,0,3,0.0,2.33,0.0,2,1,1,0.5,0.3333,0.3333,0.8,0.4916,0,Medium
EMP_027,Client Services,Senior,4,balanced,1,6,0.67,2.77,0.015404,3,3,2,0.0,0.5,0.1667,0.6,0.3167,0,Low
EMP_028,Client Services,Senior,15,broker,6,3,4.34,2.01,0.005322,1,0,0,0.5,0.0,0.3333,1.0,0.4583,0,Medium
EMP_029,Solution Architecture,Senior,9,balanced,2,3,1.0,1.33,0.000758,2,2,2,0.5,0.6667,0.3333,0.6,0.525,0,Medium
EMP_030,Client Services,Junior,7,island,1,0,1.0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_031,Client Services,Junior,8,balanced,2,3,1.0,1.44,0.010398,2,1,1,0.5,0.3333,0.3333,0.8,0.4916,0,Medium
EMP_032,Analytics & BI,Senior,2,balanced,1,2,0.67,1.0,0.001347,2,1,1,0.6667,0.5,0.5,0.8,0.6167,0,Medium
EMP_033,Platform Engineering,Mid-level,10,balanced,4,5,2.33,3.0,0.012196,2,2,2,0.1667,0.4,0.2,0.6,0.3417,0,Low
EMP_034,Platform Engineering,Junior,8,balanced,1,2,0.67,1.67,0.000595,2,0,0,0.6667,0.0,0.5,1.0,0.5417,0,Medium
EMP_035,Client Services,Senior,11,balanced,2,3,1.34,2.1,0.001704,1,1,1,0.5,0.3333,0.3333,0.8,0.4916,0,Medium
EMP_036,Information Management,Junior,4,island,0,0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_037,Platform Engineering,Junior,3,island,3,0,2.34,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_038,Information Management,Mid-level,3,balanced,5,4,4.01,2.66,0.013271,4,2,2,0.3333,0.5,0.25,0.6,0.4208,0,Medium
EMP_039,Client Services,Mid-level,14,balanced,1,5,0.33,4.0,0.004091,4,1,1,0.1667,0.2,0.2,0.8,0.3417,0,Low
EMP_040,Client Services,Mid-level,6,balanced,3,2,2.67,2.0,0.018084,1,0,0,0.6667,0.0,0.5,1.0,0.5417,0,Medium
EMP_041,Data Engineering,Senior,2,balanced,1,5,0.33,3.1,0.003344,3,2,1,0.1667,0.4,0.2,0.8,0.3917,0,Low
EMP_042,Platform Engineering,Junior,13,balanced,3,5,2.01,2.43,0.011507,3,3,2,0.1667,0.6,0.2,0.6,0.3917,0,Low
EMP_043,Data Engineering,Mid-level,18,balanced,2,4,1.34,3.33,0.026348,4,1,1,0.3333,0.25,0.25,0.8,0.4083,0,Low
EMP_044,Analytics & BI,Junior,10,balanced,0,2,0.0,0.77,0.0,1,1,1,0.6667,0.5,0.5,0.8,0.6167,0,Medium
EMP_045,Information Management,Junior,5,balanced,1,4,0.33,2.0,0.002435,3,2,1,0.3333,0.5,0.25,0.8,0.4708,0,Medium
EMP_046,Client Services,Junior,13,balanced,2,2,0.2,1.0,0.0,2,1,1,0.6667,0.5,0.5,0.8,0.6167,0,Medium
EMP_047,Data Engineering,Senior,11,balanced,2,6,1.1,3.43,0.007491,3,3,3,0.0,0.5,0.1667,0.4,0.2667,0,Low
EMP_048,Platform Engineering,Junior,2,balanced,1,4,0.33,2.44,0.002974,4,1,1,0.3333,0.25,0.25,0.8,0.4083,0,Low
EMP_049,Analytics & BI,Junior,6,island,2,1,1.0,0.67,0.00486,1,0,0,0.8333,0.0,1.0,1.0,0.7083,1,High
EMP_050,Analytics & BI,Junior,4,balanced,2,4,1.67,2.2,0.006672,4,2,2,0.3333,0.5,0.25,0.6,0.4208,0,Medium
EMP_051,Data Engineering,Junior,4,island,2,0,0.66,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,High
EMP_052,Information Management,Mid-level,6,island,2,1,0.77,0.33,0.003019,1,1,1,0.8333,1.0,1.0,0.8,0.9083,1,High
EMP_053,Analytics & BI,Mid-level,11,broker,8,4,4.77,2.0,0.023153,3,2,2,0.3333,0.5,0.25,0.6,0.4208,0,Medium
EMP_054,Data Engineering,Junior,8,balanced,0,5,0.0,2.44,0.0,3,2,2,0.1667,0.4,0.2,0.6,0.3417,0,Low
EMP_055,Solution Architecture,Senior,3,balanced,3,5,1.44,3.0,0.011651,2,2,2,0.1667,0.4,0.2,0.6,0.3417,0,Low
EMP_056,Platform Engineering,Mid-level,3,balanced,6,4,3.1,1.2,0.005713,3,3,3,0.3333,0.75,0.25,0.4,0.4333,0,Medium
EMP_057,Data Engineering,Mid-level,16,balanced,2,4,1.34,0.63,0.00303,3,4,4,0.3333,1.0,0.25,0.2,0.4458,0,Medium
